,Number of movements ;  Short-term Visitors arriving ;  Under 1 week ;,Number of movements ;  Short-term Visitors arriving ;  1 and under 2 weeks ;,Number of movements ;  Short-term Visitors arriving ;  2 weeks and under 1 month ;,Number of movements ;  Short-term Visitors arriving ;  1 and under 2 months ;,Number of movements ;  Short-term Visitors arriving ;  2 and under 3 months ;,Number of movements ;  Short-term Visitors arriving ;  3 and under 6 months ;,Number of movements ;  Short-term Visitors arriving ;  6 and under 12 months ;,Number of movements ;  Short-term Visitors arriving ;  Total (Duration of stay in days) ;,Number of movements ;  Short-term Visitors arriving ;  Convention/conference ;,Number of movements ;  Short-term Visitors arriving ;  Business ;,Number of movements ;  Short-term Visitors arriving ;  Visiting friends/relatives ;,Number of movements ;  Short-term Visitors arriving ;  Holiday ;,Number of movements ;  Short-term Visitors arriving ;  Employment ;,Number of movements ;  Short-term Visitors arriving ;  Education ;,Number of movements ;  Short-term Visitors arriving ;  Other & not stated ;,Number of movements ;  Short-term Visitors arriving ;  Total (Reason for Journey) ;
Unit,Number,Number,Number,Number,Number,Number,Number,Number,Number,Number,Number,Number,Number,Number,Number,Number
Series Type,Original,Original,Original,Original,Original,Original,Original,Original,Original,Original,Original,Original,Original,Original,Original,Original
Data Type,FLOW,FLOW,FLOW,FLOW,FLOW,FLOW,FLOW,FLOW,FLOW,FLOW,FLOW,FLOW,FLOW,FLOW,FLOW,FLOW
Frequency,Month,Month,Month,Month,Month,Month,Month,Month,Month,Month,Month,Month,Month,Month,Month,Month
Collection Month,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Series Start,Jan-1991,Jan-1991,Jan-1991,Jan-1991,Jan-1991,Jan-1991,Jan-1991,Jan-1991,Jan-1991,Jan-1991,Jan-1991,Jan-1991,Jan-1991,Jan-1991,Jan-1991,Jan-1991
Series End,Jul-2025,Jul-2025,Jul-2025,Jul-2025,Jul-2025,Jul-2025,Jul-2025,Jul-2025,Jul-2025,Jul-2025,Jul-2025,Jul-2025,Jul-2025,Jul-2025,Jul-2025,Jul-2025
No. Obs,415,415,415,415,415,415,415,415,415,415,415,415,415,415,415,415
Series ID,A85251143K,A85251139V,A85251142J,A85251140C,A85251138T,A85251141F,A85251137R,A85251144L,A85247882L,A85247876T,A85247879X,A85247877V,A85247880J,A85247878W,A85247881K,A85247883R
Jan-1991,44470,47940,30700,19730,8020,9580,16980,177410,1730,13650,28790,108880,2610,9860,11900,177410
