country,number of tourists(000),total_spend($M),latitude,longitude
New Zealand,857.2426378602427,2472.327245868315,-40.900557,174.885971
Japan,221.36035221062187,1521.3236944921082,36.204824,138.252924
Hong Kong,133.2391928911068,876.2768082732579,22.396428,114.109497
Singapore,229.11501423073918,1170.24899576316,1.352083,103.819836
Malaysia,119.13980739998438,609.0934532164882,4.210484,101.975766
Indonesia,133.9441621656629,927.7395653158546,-0.789275,113.921327
Taiwan,90.23606714318343,876.2768082732579,23.69781,120.960515
Thailand,63.44723471005085,400.42254794787647,15.870032,100.992541
Vietnam,117.02489957631602,764.8916628933908,14.058324,108.277199
Philippines,109.97520683075481,532.2518022898711,12.879721,121.774017
China,480.0840759727181,7774.401159804897,35.86166,104.195397
India,274.93801707688704,1887.2027479867347,20.593684,78.96288
United States of America,467.39462903070796,3516.3867414859296,37.09024,-95.712891
Canada,109.2702375561987,786.0407411300745,56.130366,-106.346771
United Kingdom,407.4722406934377,3322.520190982996,55.378051,-3.435973
Germany,106.45036045797421,836.093559623559,51.165691,10.451526
France,80.36649729939775,817.7643584850998,46.227638,2.213749
Italy,43.708095022479476,416.63684126266725,41.87194,12.56738
Netherlands,35.248463727806026,267.1833550567697,52.132633,5.291266
Switzerland,28.198770982244824,260.83863158576463,46.818188,8.227512
South Korea,105.74539118341809,806.4848500922019,35.907757,127.766922
North Korea,106.45036045797421,806.4848500922019,40.339852,127.510093
