country,nights_travelled,total_spend_in_Australia
New Zealand,10319.340240952493,1573.4914208092612
Japan,9244.262097254408,1026.4352637537115
Hong Kong,3463.5140458942205,620.3729616093862
Singapore,4054.9832672468056,798.7301880720846
Malaysia,3384.557487143935,450.475366441361
Indonesia,7230.8698491221285,743.0376153821511
Taiwan,6623.891303729309,649.2767018661871
Thailand,3706.023476341526,311.5964193538053
Vietnam,5342.257162586282,585.12449788158
Philippines,7581.23957857652,389.84800882953465
Korea,7435.310938743403,1108.9166688767777
China,33517.0591894962,6482.192479543529
India,20352.4629564352,1273.1745098483539
Other Asia,11433.89666402572,903.0656407063905
United States of America,8327.802040331453,1627.0690856755264
Canada,3358.4736239853582,441.31076587213147
United Kingdom,15694.025990168357,1725.0598148388272
Germany,4080.362161130826,466.6896597561518
Scandinavia,2403.2402569618152,241.80446117274937
France,6589.347809276059,549.171064879218
Italy,3355.653746887134,269.2982628804381
Netherlands,1115.2613923477827,145.92863983311696
Switzerland,1078.6029900708645,162.14293314790774
Other Europe,9718.001449756122,927.0345960412985
Other Countries,19533.28865940099,1528.3733872376695
Total,208943.7283778649,24998.915445034592
