tourism filled job,year,num_jobs(000)
Accommodation,2016-17,66.33760873573094
"Cafes, restaurants and takeaway food services",2016-17,107.22582665998594
"Clubs, pubs, taverns and bars",2016-17,25.660881593842788
Road passenger transport and transport equipment rental,2016-17,12.971434651832617
"Air, water and other passenger transport",2016-17,24.250943044730548
Travel agency and information centre services,2016-17,14.874851693134145
Cultural services,2016-17,6.415220398460697
Casinos and other gambling services,2016-17,1.621429331479077
Sports and recreation services,2016-17,19.034170413015257
Retail trade,2016-17,73.95127690093705
Education and training,2016-17,27.141317070410643
All other industries,2016-17,9.023606714318344
Total tourism filled jobs,2016-17,388.5790641353337
Accommodation,2017-18,67.8180442122988
"Cafes, restaurants and takeaway food services",2017-18,119.42179510980682
"Clubs, pubs, taverns and bars",2017-18,28.33976483715605
Road passenger transport and transport equipment rental,2017-18,14.028888563666799
"Air, water and other passenger transport",2017-18,25.7313785212984
Travel agency and information centre services,2017-18,14.945348620589755
Cultural services,2017-18,7.049692745561206
Casinos and other gambling services,2017-18,1.6919262589346893
Sports and recreation services,2017-18,20.30311510721627
Retail trade,2017-18,75.71370008732735
Education and training,2017-18,34.332003670883076
All other industries,2017-18,8.671122077040284
Total tourism filled jobs,2017-18,418.11727673923514
Accommodation,2018-19,65.91462717099728
"Cafes, restaurants and takeaway food services",2018-19,129.2913649535925
"Clubs, pubs, taverns and bars",2018-19,29.608709531357064
Road passenger transport and transport equipment rental,2018-19,15.509324040234652
"Air, water and other passenger transport",2018-19,27.98728019987799
Travel agency and information centre services,2018-19,15.72081482260149
Cultural services,2018-19,8.177643584850998
Casinos and other gambling services,2018-19,1.9034170413015257
Sports and recreation services,2018-19,21.078581309228003
Retail trade,2018-19,81.07146657395387
Education and training,2018-19,39.54877630259836
All other industries,2018-19,9.728575988874464
Total tourism filled jobs,2018-19,445.5405815194682
Accommodation,2019-20,64.15220398460697
"Cafes, restaurants and takeaway food services",2019-20,110.60967917785533
"Clubs, pubs, taverns and bars",2019-20,23.686967625085654
Road passenger transport and transport equipment rental,2019-20,12.477956159643334
"Air, water and other passenger transport",2019-20,26.647838578221357
Travel agency and information centre services,2019-20,15.509324040234652
Cultural services,2019-20,7.1906866004724295
Casinos and other gambling services,2019-20,1.4804354765678533
Sports and recreation services,2019-20,18.399698065914748
Retail trade,2019-20,64.50468862188504
Education and training,2019-20,33.3450466865045
All other industries,2019-20,8.741619004495895
Total tourism filled jobs,2019-20,386.74614402148774
Accommodation,2020-21,46.034493628514674
"Cafes, restaurants and takeaway food services",2020-21,95.59383362980995
"Clubs, pubs, taverns and bars",2020-21,20.091624324849437
Road passenger transport and transport equipment rental,2020-21,7.331680455383654
"Air, water and other passenger transport",2020-21,16.355287169701995
Travel agency and information centre services,2020-21,14.381373200944859
Cultural services,2020-21,5.216772631715292
Casinos and other gambling services,2020-21,0.7754662020117327
Sports and recreation services,2020-21,13.887894708755574
Retail trade,2020-21,49.98232156602895
Education and training,2020-21,1.8329201138459135
All other industries,2020-21,6.979195818105594
Total tourism filled jobs,2020-21,278.4628634496676
Accommodation,2021-22,51.11027240531874
"Cafes, restaurants and takeaway food services",2021-22,97.49725067111149
"Clubs, pubs, taverns and bars",2021-22,20.51460588958311
Road passenger transport and transport equipment rental,2021-22,8.389134367217835
"Air, water and other passenger transport",2021-22,15.7913117500571
Travel agency and information centre services,2021-22,18.047213428636688
Cultural services,2021-22,6.767705035738757
Casinos and other gambling services,2021-22,0.9164600569229567
Sports and recreation services,2021-22,17.06025644425812
Retail trade,2021-22,54.353131068276895
Education and training,2021-22,7.754662020117326
All other industries,2021-22,6.133232688638248
Total tourism filled jobs,2021-22,304.2647388984217
Accommodation,2022-23,78.46308025809621
"Cafes, restaurants and takeaway food services",2022-23,147.9025538018741
"Clubs, pubs, taverns and bars",2022-23,30.313678805913185
Road passenger transport and transport equipment rental,2022-23,14.592863983311695
"Air, water and other passenger transport",2022-23,23.61647069763004
Travel agency and information centre services,2022-23,18.681685775737193
Cultural services,2022-23,8.88261285940712
Casinos and other gambling services,2022-23,1.7624231863903015
Sports and recreation services,2022-23,23.9689553349081
Retail trade,2022-23,83.67985288981151
Education and training,2022-23,20.16212125230505
All other industries,2022-23,9.305594424140791
Total tourism filled jobs,2022-23,461.4023901969809
Accommodation,2023-24,79.5205341699304
"Cafes, restaurants and takeaway food services",2023-24,152.4848540864889
"Clubs, pubs, taverns and bars",2023-24,31.300635790291754
Road passenger transport and transport equipment rental,2023-24,16.42578409715761
"Air, water and other passenger transport",2023-24,24.391936899641774
Travel agency and information centre services,2023-24,19.95063046993821
Cultural services,2023-24,10.29255140851936
Casinos and other gambling services,2023-24,1.7624231863903015
Sports and recreation services,2023-24,26.01336623112085
Retail trade,2023-24,85.30128222129059
Education and training,2023-24,29.8202003137239
All other industries,2023-24,10.222054481063749
Total tourism filled jobs,2023-24,487.4862533555574
