year,no_visiting_friends_relatives,no_holiday,total,total_visitors,ratio
Jan-1991,28790,108880,177410,137670,0.7759990981342653
Feb-1991,35250,109100,190570,144350,0.7574644487589862
Mar-1991,40060,111670,189180,151730,0.8020403848186912
Apr-1991,33930,96700,168000,130630,0.7775595238095238
May-1991,30210,96510,161400,126720,0.7851301115241636
Jun-1991,33680,97410,172230,131090,0.7611333681704697
Jul-1991,39170,129350,208310,168520,0.808986606499928
Aug-1991,35630,127160,199310,162790,0.8167678490793236
Sep-1991,38130,123140,197360,161270,0.8171361978111066
Oct-1991,38820,136330,215970,175150,0.8109922674445524
Nov-1991,45180,136520,223860,181700,0.811668006789958
Dec-1991,75080,162720,266750,237800,0.8914714151827554
Jan-1992,32630,124450,196090,157080,0.8010607374164924
Feb-1992,39510,148630,238250,188140,0.7896747114375656
Mar-1992,39050,135750,217800,174800,0.8025711662075299
Apr-1992,42540,122370,203830,164910,0.8090565667467988
May-1992,30100,105150,175220,135250,0.771886770916562
Jun-1992,31010,111350,176940,142360,0.8045665197242003
Jul-1992,39860,131490,219260,171350,0.7814922922557694
Aug-1992,31420,125830,199080,157250,0.7898834639340968
Sep-1992,34520,116360,190020,150880,0.7940216819282181
Oct-1992,40620,144770,229320,185390,0.8084336298622012
Nov-1992,48770,160320,255040,209090,0.8198321831869511
Dec-1992,79480,188940,302400,268420,0.8876322751322752
Jan-1993,36730,160490,242760,197220,0.8124073158675235
Feb-1993,39390,146830,245460,186220,0.7586572150248513
Mar-1993,49020,160410,257950,209430,0.8119015313045164
Apr-1993,42350,138750,226320,181100,0.8001944149876281
May-1993,33620,129280,213410,162900,0.7633194320790966
Jun-1993,32950,131770,204580,164720,0.8051617948968619
Jul-1993,41290,148930,244620,190220,0.777614258850462
Aug-1993,38950,154880,239930,193830,0.8078606260159213
Sep-1993,38880,134740,224030,173620,0.7749854930143284
Oct-1993,43260,174330,267220,217590,0.8142728837661851
Nov-1993,49190,185390,285910,234580,0.8204679794340877
Dec-1993,84910,224360,344040,309270,0.898936170212766
Jan-1994,42230,158410,250530,200640,0.8008621721949467
Feb-1994,43600,197140,304280,240740,0.7911791770737479
Mar-1994,53810,198130,307400,251940,0.819583604424203
Apr-1994,41990,159660,255130,201650,0.7903813742013875
May-1994,31860,136890,214940,168750,0.7851028193914581
Jun-1994,38460,148020,230940,186480,0.8074824629773967
Jul-1994,44460,176030,282510,220490,0.7804679480372376
Aug-1994,36590,180890,265430,217480,0.8193497343932487
Sep-1994,47920,147650,253970,195570,0.7700515808953814
Oct-1994,55660,180590,301590,236250,0.7833482542524619
Nov-1994,61950,188450,311000,250400,0.805144694533762
Dec-1994,106480,237110,384010,343590,0.8947423244186349
Jan-1995,54810,189210,303760,244020,0.8033315775612325
Feb-1995,54960,185790,319050,240750,0.7545839210155149
Mar-1995,56270,193960,313540,250230,0.7980799897939657
Apr-1995,62810,175430,294160,238240,0.8098993744900734
May-1995,38070,150620,244810,188690,0.7707609983252318
Jun-1995,48130,157310,261440,205440,0.7858017135862914
Jul-1995,53370,193710,329740,247080,0.7493176442045247
Aug-1995,44810,190720,304900,235530,0.7724827812397508
Sep-1995,52630,154660,268570,207290,0.7718285735562423
Oct-1995,57280,191740,320660,249020,0.7765857918044035
Nov-1995,63810,212620,342930,276430,0.8060828740559298
Dec-1995,113190,261780,422260,374970,0.8880073888125799
Jan-1996,57800,187330,317210,245130,0.7727688282210523
Feb-1996,61550,247960,392690,309510,0.7881789706893478
Mar-1996,68070,223120,365550,291190,0.7965804951443031
Apr-1996,63930,196700,333200,260630,0.782202881152461
May-1996,44550,157600,261510,202150,0.7730105923291652
Jun-1996,56500,182720,306930,239220,0.7793959534747337
Jul-1996,59230,207880,358230,267110,0.7456382770845547
Aug-1996,52810,208880,329240,261690,0.7948305187705018
Sep-1996,57660,182390,309160,240050,0.7764587915642386
Oct-1996,64920,205690,350360,270610,0.7723769836739354
Nov-1996,74310,225030,375570,299340,0.7970285166546849
Dec-1996,119920,293080,465180,413000,0.8878283675136507
Jan-1997,62700,199230,342890,261930,0.7638892939426638
Feb-1997,61900,253580,407960,315480,0.7733111089322483
Mar-1997,74470,236490,390900,310960,0.7954975697109236
Apr-1997,60160,187490,325900,247650,0.7598956735194845
May-1997,45690,169950,289100,215640,0.7459010722933241
Jun-1997,55150,176850,308180,232000,0.7528068012200662
Jul-1997,65250,227840,397360,293090,0.73759311455607
Aug-1997,53830,202510,330430,256340,0.775777017825258
Sep-1997,62490,189070,330940,251560,0.7601377893273705
Oct-1997,69320,211970,366480,281290,0.7675452957869461
Nov-1997,74340,220320,379460,294660,0.7765245348653349
Dec-1997,132290,259200,448280,391490,0.8733157847773713
Jan-1998,66590,198470,346230,265060,0.7655604655864598
Feb-1998,66320,188220,353610,254540,0.719832583920138
Mar-1998,73880,182330,338560,256210,0.7567639413988658
Apr-1998,78490,189410,341080,267900,0.7854462296235487
May-1998,52340,159070,283400,211410,0.7459774170783345
Jun-1998,59380,175110,304190,234490,0.7708668924027746
Jul-1998,62270,183910,372300,246180,0.6612409347300564
Aug-1998,51160,168490,323680,219650,0.6786023232822541
Sep-1998,51120,130290,323860,181410,0.5601494472920397
Oct-1998,69650,186780,354750,256430,0.722847075405215
Nov-1998,81320,199600,367910,280920,0.7635563045309994
Dec-1998,129920,256890,457640,386810,0.8452276898872476
Jan-1999,69270,186890,350980,256160,0.7298421562482192
Feb-1999,66560,226640,398570,293200,0.7356298768095944
Mar-1999,82060,219680,389020,301740,0.7756413552002468
Apr-1999,63050,184200,334130,247250,0.7399814443480083
May-1999,51020,160780,298130,211800,0.7104283366316707
Jun-1999,59860,177990,317060,237850,0.7501734687440863
Jul-1999,67640,205830,388460,273470,0.7039849662770942
Aug-1999,56710,212200,355610,268910,0.756193582857625
Sep-1999,66990,197950,353130,264940,0.7502619431937247
Oct-1999,76970,221780,396980,298750,0.7525568038692125
Nov-1999,83620,236990,416670,320610,0.7694578443372453
Dec-1999,120680,271780,460780,392460,0.8517296757671774
Jan-2000,66130,195370,360800,261500,0.7247782705099778
Feb-2000,74280,241430,434590,315710,0.7264548194850319
Mar-2000,76300,235190,411860,311490,0.7563006846986841
Apr-2000,87740,221680,405620,309420,0.762832207484838
May-2000,57480,166130,319350,223610,0.7002035384374511
Jun-2000,69630,184170,347940,253800,0.7294361096740818
Jul-2000,76530,214190,429030,290720,0.6776216115423164
Aug-2000,70280,205540,372850,275820,0.7397612981091591
Sep-2000,61460,204850,402970,266310,0.6608680546938978
Oct-2000,83230,221080,426510,304310,0.7134885465756957
Nov-2000,92200,255250,459910,347450,0.7554738970668174
Dec-2000,162660,312220,559930,474880,0.8481060132516565
Jan-2001,81190,226670,416600,307860,0.7389822371579453
Feb-2001,80470,218260,429200,298730,0.6960158434296365
Mar-2001,90260,233250,428750,323510,0.7545422740524781
Apr-2001,90930,217510,405380,308440,0.7608663476244512
May-2001,61450,176540,330180,237990,0.7207886607305106
Jun-2001,69910,207230,370020,277140,0.7489865412680395
Jul-2001,70290,212160,446880,282450,0.6320488721804511
Aug-2001,59800,194860,384590,254660,0.6621597025403677
Sep-2001,65710,173590,366290,239300,0.6533074886019274
Oct-2001,64210,176250,378470,240460,0.6353475836922345
Nov-2001,72340,188780,376190,261120,0.6941173343257396
Dec-2001,135800,259170,523190,394970,0.7549265085341845
Jan-2002,65220,172640,379290,237860,0.6271190909330592
Feb-2002,68140,206350,437240,274490,0.6277787942548715
Mar-2002,87700,213240,446500,300940,0.6739977603583427
Apr-2002,63200,178310,360310,241510,0.6702839221781244
May-2002,45680,159200,329950,204880,0.6209425670556145
Jun-2002,56630,161860,339390,218490,0.6437726509325554
Jul-2002,61160,183520,418160,244680,0.5851348766022575
Aug-2002,50840,189080,371940,239920,0.645050276926386
Sep-2002,57640,166980,358570,224620,0.6264327746325683
