,Number of movements ;  Short-term Residents returning ;  Under 1 week ;,Number of movements ;  Short-term Residents returning ;  1 and under 2 weeks ;,Number of movements ;  Short-term Residents returning ;  2 weeks and under 1 month ;,Number of movements ;  Short-term Residents returning ;  1 and under 2 months ;,Number of movements ;  Short-term Residents returning ;  2 and under 3 months ;,Number of movements ;  Short-term Residents returning ;  3 and under 6 months ;,Number of movements ;  Short-term Residents returning ;  6 and under 12 months ;,Number of movements ;  Short-term Residents returning ;  Total (Duration of stay in days) ;,Number of movements ;  Short-term Residents returning ;  Convention/conference ;,Number of movements ;  Short-term Residents returning ;  Business ;,Number of movements ;  Short-term Residents returning ;  Visiting friends/relatives ;,Number of movements ;  Short-term Residents returning ;  Holiday ;,Number of movements ;  Short-term Residents returning ;  Employment ;,Number of movements ;  Short-term Residents returning ;  Education ;,Number of movements ;  Short-term Residents returning ;  Other & not stated ;,Number of movements ;  Short-term Residents returning ;  Total (Reason for Journey) ;
Unit,Number,Number,Number,Number,Number,Number,Number,Number,Number,Number,Number,Number,Number,Number,Number,Number
Series Type,Original,Original,Original,Original,Original,Original,Original,Original,Original,Original,Original,Original,Original,Original,Original,Original
Data Type,FLOW,FLOW,FLOW,FLOW,FLOW,FLOW,FLOW,FLOW,FLOW,FLOW,FLOW,FLOW,FLOW,FLOW,FLOW,FLOW
Frequency,Month,Month,Month,Month,Month,Month,Month,Month,Month,Month,Month,Month,Month,Month,Month,Month
Collection Month,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Series Start,Jul-2007,Jul-2007,Jul-2007,Jul-2007,Jul-2007,Jul-2007,Jul-2007,Jul-2007,Jul-2007,Jul-2007,Jul-2007,Jul-2007,Jul-2007,Jul-2007,Jul-2007,Jul-2007
Series End,Jul-2025,Jul-2025,Jul-2025,Jul-2025,Jul-2025,Jul-2025,Jul-2025,Jul-2025,Jul-2025,Jul-2025,Jul-2025,Jul-2025,Jul-2025,Jul-2025,Jul-2025,Jul-2025
No. Obs,217,217,217,217,217,217,217,217,217,217,217,217,217,217,217,217
Series ID,A85251163V,A85251159C,A85251162T,A85251160L,A85251158A,A85251161R,A85251157X,A85251164W,A85247902K,A85247896A,A85247899J,A85247897C,A85247900F,A85247898F,A85247901J,A85247903L
Jul-2007,61480,153990,186090,95610,17670,12800,11570,539210,0,0,0,0,0,0,539210,539210
