,Number of movements ;  Short-term Residents returning ;  NSW ;,Number of movements ;  Short-term Residents returning ;  Vic ;,Number of movements ;  Short-term Residents returning ;  Qld ;,Number of movements ;  Short-term Residents returning ;  SA ;,Number of movements ;  Short-term Residents returning ;  WA ;,Number of movements ;  Short-term Residents returning ;  Tas ;,Number of movements ;  Short-term Residents returning ;  NT ;,Number of movements ;  Short-term Residents returning ;  ACT ;,Number of movements ;  Short-term Residents returning ;  Other Territories ;,Number of movements ;  Short-term Residents returning ;  Total (State of residence/stay) ;
Unit,Number,Number,Number,Number,Number,Number,Number,Number,Number,Number
Series Type,Original,Original,Original,Original,Original,Original,Original,Original,Original,Original
Data Type,FLOW,FLOW,FLOW,FLOW,FLOW,FLOW,FLOW,FLOW,FLOW,FLOW
Frequency,Month,Month,Month,Month,Month,Month,Month,Month,Month,Month
Collection Month,1,1,1,1,1,1,1,1,1,1
Series Start,Jul-2007,Jul-2007,Jul-2007,Jul-2007,Jul-2007,Jul-2007,Jul-2007,Jul-2007,Jul-2007,Jul-2007
Series End,Jul-2025,Jul-2025,Jul-2025,Jul-2025,Jul-2025,Jul-2025,Jul-2025,Jul-2025,Jul-2025,Jul-2025
No. Obs,217,217,217,217,217,217,217,217,217,217
Series ID,A108213096L,A108213103X,A108213097R,A108213104A,A108213101V,A108213098T,A108213100T,A108213099V,A108213102W,A108213105C
Jul-2007,198460,131670,90280,22790,75400,4440,5690,10470,0,539210
Aug-2007,163530,107490,69660,20630,67440,4860,3610,8250,0,445460
Sep-2007,171030,121030,82750,23130,63650,8250,3160,8390,0,481360
Oct-2007,223410,143980,104460,27480,75780,4830,4210,11450,50,595650
Nov-2007,158100,102220,74390,18050,53440,3750,4010,7800,0,421760
Dec-2007,137330,86840,69380,13950,47030,2670,3430,7790,10,368440
Jan-2008,267530,156610,129900,25530,89800,5140,7690,13330,90,695630
Feb-2008,158720,96860,73980,16820,52240,4150,3560,6920,20,413260
Mar-2008,159450,101660,80920,16560,53600,3670,3750,7800,0,427420
Apr-2008,169460,109800,81960,21430,58000,4370,4200,8090,0,457300
May-2008,157650,97780,75730,19260,56090,3660,3410,8750,0,422330
Jun-2008,160940,108760,79590,19440,60970,7410,3300,7990,0,448400
Jul-2008,198280,135220,96870,24890,82830,5490,5530,11550,0,560660
Aug-2008,175500,119130,85210,22410,67410,5730,4530,9190,0,489110
Sep-2008,173790,129960,90530,22660,68990,7910,4720,8320,0,506890
