This tab contains a table of tourism consumption by type of visitor and tourism-related product. It ranges from cell A1 to I106.,,,,,,,,,
            Australian Bureau of Statistics,,,,,,,,,
"Table 4.2: Tourism consumption by type of visitor and tourism-related product, purchasers' prices(a)",,,,,,,,,
"Tourism Satellite Account, 2023-24",,,,,,,,,
,2016-17,2017-18,2018-19,2019-20,2020-21,2021-22,2022-23,2023-24,
,$m,$m,$m,$m,$m,$m,$m,$m,
Domestic household visitors(b),,,,,,,,,
Tourism characteristic products,,,,,,,,,
Accommodation services,"6,933","7,491","7,792","6,385","7,876","9,193","13,460","12,873",
Actual and imputed rent on vacation homes,"4,594","4,751","5,830","5,426","6,950","7,494","9,754","10,150",
Takeaway and restaurant meals(c),"12,985","14,306","16,111","13,070","14,391","15,465","22,448","23,420",
Taxi fares (including ride share),471,530,535,533,354,465,854,934,
Local area passenger transportation,468,517,517,341,333,350,658,657,
Long distance passenger transportation(d) ,"10,569","11,858","13,228","9,883","4,066","5,938","12,902","13,679",
Motor vehicle (including caravans) hire and lease,869,954,924,858,953,"1,254","1,621","1,601",
Travel agency and information centre services,"5,227","5,346","5,688","4,646","3,867","4,433","7,102","7,504",
"Recreational, cultural and gambling services","3,992","4,521","5,094","4,244","3,732","5,139","7,334","7,507",
Tourism connected products,,,,,,,,,
"Shopping, gifts and souvenirs","9,494","10,457","10,926","9,766","10,240","10,875","15,303","15,123",
"Food, alcohol and other beverage products","10,542","10,683","11,983","10,671","10,690","10,622","14,893","14,910",
"Motor vehicles, caravans, boats, etc.","1,929","1,930","1,866","1,685","2,158","2,378","2,823","3,210",
"Repair, maintenance and fuel for motor vehicles","8,979","9,953","11,573","9,700","8,555","10,684","16,632","16,147",
Education services,99,159,103,114,64,72,100,34,
Other tourism goods and services,"1,471","1,512","1,936","1,818","2,007","1,392","1,941","2,099",
Total consumption by domestic household visitors,"78,622","84,970","94,106","79,140","76,236","85,755","127,824","129,850",
Domestic business/government visitors(b),,,,,,,,,
Tourism characteristic products,,,,,,,,,
Accommodation services,"3,313","3,766","4,269","3,328","1,974","2,301","5,528","5,684",
Actual and imputed rent on vacation homes,742,865,"1,126",859,640,550,"1,167","1,128",
Takeaway and restaurant meals(c),"2,215","2,690","3,276","2,629","1,890","2,139","3,869","3,995",
Taxi fares (including ride share),671,726,775,716,194,273,685,785,
Local area passenger transportation,146,149,167,94,99,92,197,156,
Long distance passenger transportation(d) ,"5,151","5,508","7,243","5,305","1,808","2,530","6,878","7,402",
Motor vehicle (including caravans) hire and lease,384,431,535,494,257,357,608,818,
Travel agency and information centre services,"1,299","1,596","1,730","1,241",607,776,"2,067","2,209",
"Recreational, cultural and gambling services",249,186,276,200,148,183,347,357,
Tourism connected products,,,,,,,,,
"Shopping, gifts and souvenirs",766,720,989,760,728,693,"1,281","1,079",
"Food, alcohol and other beverage products","2,092","2,136","2,508","2,072","1,136","1,189","2,873","2,982",
"Motor vehicles, caravans, boats, etc.",-,-,-,-,-,-,-,-,
"Repair, maintenance and fuel for motor vehicles","2,030","2,365","3,314","2,990","2,394","2,607","3,896","3,402",
Education services,68,81,123,99,66,64,75,92,
Other tourism goods and services,144,116,205,294,135,132,167,215,
Total consumption by domestic business/government visitors,"19,270","21,335","26,537","21,082","12,076","13,885","29,638","30,304",
Domestic visitors total(b),,,,,,,,,
Tourism characteristic products,,,,,,,,,
Accommodation services,"10,245","11,256","12,061","9,713","9,850","11,495","18,988","18,557",
Actual and imputed rent on vacation homes,"5,335","5,617","6,955","6,285","7,591","8,044","10,921","11,279",
Takeaway and restaurant meals(c),"15,200","16,996","19,387","15,699","16,281","17,605","26,317","27,415",
Taxi fares (including ride share),"1,142","1,256","1,311","1,249",548,738,"1,539","1,719",
Local area passenger transportation,614,666,684,435,431,442,855,813,
Long distance passenger transportation(d) ,"15,719","17,366","20,471","15,187","5,875","8,468","19,780","21,081",
Motor vehicle (including caravans) hire and lease,"1,253","1,385","1,459","1,352","1,210","1,611","2,229","2,420",
Travel agency and information centre services,"6,526","6,942","7,418","5,887","4,474","5,208","9,168","9,712",
"Recreational, cultural and gambling services","4,242","4,707","5,370","4,444","3,880","5,322","7,681","7,864",
