month_year,year,month,in_visits_fr,in_holiday,in_total,in_total_visitors,in_ratio,out_visits_fr,out_holiday,out_total,out_total_visitors,ratio
Jul-2017,2017,Jul,180340,332950,746410,513290,0.6876783537198055,247110,663500,1070740,910610,0.8504492220333602
Aug-2017,2017,Aug,182190,359360,702900,541550,0.7704509887608479,197600,525590,863230,723190,0.8377720885511393
Sep-2017,2017,Sep,198240,309320,663590,507560,0.7648698744706822,205710,570840,946170,776550,0.8207298899774882
Oct-2017,2017,Oct,204680,356260,741360,560940,0.7566364519261897,252740,647290,1078680,900030,0.8343809100011125
Nov-2017,2017,Nov,230170,380920,777090,611090,0.7863825296941153,186170,422770,773110,608940,0.7876498816468549
Dec-2017,2017,Dec,418420,487950,1015040,906370,0.8929401796973518,191920,358640,680770,550560,0.8087312895691643
Jan-2018,2018,Jan,199220,323630,702580,522850,0.7441857155057076,445310,754920,1336960,1200230,0.8977306725706079
Feb-2018,2018,Feb,227550,449380,914530,676930,0.7401944168042601,214920,358360,709020,573280,0.8085526501368085
Mar-2018,2018,Mar,277620,408660,872350,686280,0.7867025849716284,190510,385820,740730,576330,0.7780567818233365
Apr-2018,2018,Apr,206060,309640,679780,515700,0.7586277913442584,242460,534150,929040,776610,0.8359274089382589
May-2018,2018,May,184850,270190,609450,455040,0.7466404134875707,192070,473430,822240,665500,0.8093743919050399
Jun-2018,2018,Jun,205960,301160,646650,507120,0.7842263975875667,187440,470170,808710,657610,0.8131592288954013
Jul-2018,2018,Jul,199130,330840,774360,529970,0.6843974378841883,256720,700910,1133600,957630,0.8447688779110798
Aug-2018,2018,Aug,204640,376230,741710,580870,0.7831497485540171,232980,538190,916200,771170,0.8417048679327658
Sep-2018,2018,Sep,203970,318330,690190,522300,0.7567481418160217,222480,578230,973970,800710,0.8221095105598735
Oct-2018,2018,Oct,219580,351170,753960,570750,0.7570030240331052,265150,701340,1147820,966490,0.8420222682999077
Nov-2018,2018,Nov,236530,390830,802160,627360,0.7820883614241548,189470,439840,810320,629310,0.776619113436667
Dec-2018,2018,Dec,425550,509280,1057900,934830,0.8836657529067019,193840,386730,732810,580570,0.7922517432895293
Jan-2019,2019,Jan,197380,353090,731130,550470,0.7529030404989536,466900,797850,1392850,1264750,0.9080302975912697
Feb-2019,2019,Feb,232090,441800,927240,673890,0.7267697683447651,239400,370540,746080,609940,0.8175262706412181
Mar-2019,2019,Mar,239850,400350,836350,640200,0.7654690022119925,191100,394440,753510,585540,0.7770832503881833
Apr-2019,2019,Apr,236910,323290,700370,560200,0.7998629295943572,225260,544950,916430,770210,0.8404460788058008
May-2019,2019,May,197500,314820,668280,512320,0.7666247680612917,213920,491310,866280,705230,0.8140901325206631
Jun-2019,2019,Jun,199820,311440,660340,511260,0.7742375140079353,197290,491670,841950,688960,0.818290872379595
Jul-2019,2019,Jul,208710,347490,790380,556200,0.7037121384650421,259500,700000,1122590,959500,0.8547198888285127
Aug-2019,2019,Aug,210020,401070,789200,611090,0.7743157627977699,231800,536910,930970,768710,0.8257086694522917
Sep-2019,2019,Sep,212680,311880,694960,524560,0.7548060320018418,228450,587610,992820,816060,0.8219616848975645
Oct-2019,2019,Oct,224700,361630,774020,586330,0.75751272576936,263640,700190,1145970,963830,0.8410604117036222
Nov-2019,2019,Nov,242730,393980,815910,636710,0.7803679327376793,204700,468730,849790,673430,0.7924663740453524
Dec-2019,2019,Dec,443530,514880,1077720,958410,0.8892940652488587,207560,402520,749660,610080,0.8138089267134434
Jan-2020,2020,Jan,210820,377820,766590,588640,0.7678680911569418,472180,799280,1397420,1271460,0.9098624608206552
Feb-2020,2020,Feb,209610,285580,685410,495190,0.7224726805853431,254770,399010,785390,653780,0.8324272017723678
